"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5777","Проверка текста ответа на вопрос #1","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","6938","Создание заказа через кнопку в футере","tests","2025-09-27","passed","2025-09-27","TestOrder","test_order","",""
"","3267","Проверка редиректа по клику на логотип Самоката","tests","2025-09-27","passed","2025-09-27","TestLogoRedirects","test_logo_redirects","",""
"","5495","Проверка текста ответа на вопрос #5","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","5401","Проверка текста ответа на вопрос #6","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","7105","Создание заказа через кнопку в хедере","tests","2025-09-27","passed","2025-09-27","TestOrder","test_order","",""
"","6307","Проверка текста ответа на вопрос #3","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","5563","Проверка текста ответа на вопрос #0","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","6859","Проверка текста ответа на вопрос #4","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","5421","Проверка текста ответа на вопрос #7","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","5843","Проверка текста ответа на вопрос #2","tests","2025-09-27","passed","2025-09-27","TestQuestionAnswer","test_questions","",""
"","9264","Проверка редиректа по клику на логотип Яндекса","tests","2025-09-27","passed","2025-09-27","TestLogoRedirects","test_logo_redirects","",""
